# Age-of-acquisition ratings: the average age, in years, at which people
# report having learned a word.
#
# Kuperman, V., Stadthagen-Gonzalez, H., & Brysbaert, M. (2012).
# Age-of-acquisition ratings for 30,000 English words.
# Behavior Research Methods 44(4), 978-990.
#
# This is the subset republished in the CLDF/NoRaRe cross-linguistic norms
# collection (concepticon/norare-data, Kuperman-2012-AoA), which covers the
# basic vocabulary rather than the full 30,000 - which is the half that
# matters here anyway. Vendored so the dictionary build stays offline and
# reproducible.
#
# word age
month 5.79
moon 4.83
moor 11.80
mop 5.11
more 3.78
morning 4.00
mortar 11.90
mosque 14.12
mosquito 6.10
moss 8.31
moth 5.74
mother 2.63
motionless 8.83
motor 7.42
motorcycle 5.05
mould 11.33
mountain 6.15
mountainous 10.56
mourn 9.21
mourning 11.05
mouse 4.94
moustache 5.40
mouth 3.58
move 4.62
movement 6.58
movie 3.56
much 4.58
mud 4.05
muggy 8.06
mule 5.65
mumble 7.15
murder 8.79
muscle 8.45
mush 5.78
mushroom 6.44
music 3.81
mussel 10.00
must 4.58
mustard 4.95
mute 9.84
muzzle 8.44
my 2.72
nail 5.42
naked 4.68
name 3.68
nape 10.53
narrow 7.57
nature 6.16
navel 9.60
near 5.41
necessary 7.55
neck 3.00
necklace 5.00
need 3.56
needle 5.32
negro 9.83
neighbor 5.06
nephew 6.37
nerve 9.67
nervous 6.79
nest 5.11
net 7.00
nettle 14.33
never 5.07
new 4.72
news 6.16
newspaper 5.78
next 4.35
niece 7.00
night 3.61
nightingale 8.81
nine 3.23
ninety 6.69
nipple 9.05
nit 8.57
no 2.72
noble 10.67
nobody 5.25
noise 4.50
noisy 5.33
noodles 5.30
noon 5.89
noose 8.28
north 6.55
nose 2.95
nostril 7.37
not 3.89
nothing 5.21
notice 7.35
now 5.25
numb 9.26
number 3.94
nurse 5.84
nut 5.21
oak 7.35
oar 5.83
oath 11.39
oats 7.49
obey 5.44
obscure 11.87
obstinate 13.11
obstruct 10.94
ocean 4.74
octopus 6.26
odor 6.81
offend 9.67
office 6.68
official 8.68
offspring 11.65
often 6.53
oil 7.33
ointment 7.90
okra 12.61
old 3.72
olive 6.68
omen 12.05
once 4.97
one 3.23
onion 6.05
only 4.95
open 5.00
operate 7.11
opium 12.41
opossum 8.76
opposite 5.06
or 4.14
orange 3.26
order 6.26
ornament 6.10
orphan 6.94
ostrich 6.42
other 5.33
otter 5.47
our 4.35
out 3.28
outrigger 11.41
outside 3.58
ovary 12.26
oven 5.67
overcome 8.00
owe 8.61
owl 6.21
own 5.21
owner 7.50
ox 4.72
oyster 8.00
paddle 6.58
paddy 11.69
padlock 8.84
pain 4.26
painful 6.44
paint 4.45
paintbrush 6.22
painting 5.26
pair 5.94
palate 11.72
palm 6.00
pan 4.72
pancreas 12.84
panda 5.67
pant 5.94
papaya 10.84
paper 4.00
parakeet 6.53
parrot 5.58
part 5.11
partridge 8.05
pass 5.39
passionate 11.28
pasture 6.33
path 6.11
patient 7.05
pattern 6.89
paw 5.89
pay 5.50
pea 3.95
peace 6.32
peach 4.21
peacock 5.76
peak 7.11
peanut 5.00
pear 4.00
pearl 6.28
pebble 5.68
peccary 12.71
peck 7.89
peel 6.05
peg 6.83
pelican 8.22
pelt 10.84
pen 5.11
pencil 4.06
penguin 5.68
penis 8.53
people 3.52
pepper 5.47
perch 9.16
perhaps 7.60
period 6.78
perish 10.95
perjury 12.78
persimmon 15.29
person 4.67
perspire 12.26
persuade 10.79
pestle 13.00
pet 4.05
petrol 12.28
petroleum 11.11
pheasant 9.68
phlegm 11.27
photo 5.16
photograph 6.68
piano 5.50
pick 5.26
picture 4.05
piece 4.89
pierce 8.08
pig 3.84
piglet 5.68
pike 12.06
pill 6.06
pillar 8.26
pillow 3.47
pimple 9.57
pin 4.53
pinch 5.50
pine 5.53
pineapple 6.25
pink 3.80
pipe 8.17
piranha 8.74
pirate 6.50
pistol 7.28
pit 6.14
pitcher 6.42
pitchfork 6.89
pity 8.72
place 4.95
placenta 12.06
plain 7.37
plaintiff 12.33
plait 13.00
plan 6.78
plant 3.95
plantain 12.80
plastic 5.11
plate 3.84
plateau 9.74
play 4.10
please 3.48
pleasure 8.21
pliers 7.00
plot 8.65
plow 7.11
plunder 12.47
pocket 4.74
poet 8.61
poetry 8.11
point 4.55
poison 5.58
poisonous 4.89
pole 5.63
police 5.05
polish 8.06
polite 4.63
pomegranate 11.17
poncho 8.84
pond 5.16
pony 5.39
poor 6.11
poplar 10.27
porcupine 6.89
pork 5.63
porpoise 8.94
port 9.32
possum 6.61
postcard 6.74
postman 5.22
pot 5.95
potato 4.84
potter 8.45
pouch 6.56
pound 6.79
pour 5.00
powder 5.06
power 7.48
powerful 6.42
praise 7.95
prawn 13.06
pray 5.79
preach 7.33
precious 7.57
precipice 11.94
pregnant 6.76
prepare 7.72
preserve 9.63
president 6.89
press 6.40
pretend 4.56
pretty 4.09
prevent 8.60
price 7.35
pride 8.95
priest 7.10
prince 5.26
prison 7.50
prisoner 8.00
